"state","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Massachusetts",0.364092286838494,0.326829119285729,0.34268542946534,0.360881897736033,0.337921742869379,0.312040424913724,0.316992866719704,0.292550666355346,0.300622819166172,0.300508191947519,0.297659398638842,0.244481835901592,0.283154646856363,0.299292757556404,0.264429043065093,0.296977978293902,0.296952663093902,0.293362376431439,0.300612953473992,0.411043142366224,0.327565428306625,0.307068423054422,0.265053332464595
"Michigan",0.381860444836888,0.337203260959842,0.324650265440209,0.325348295824018,0.347328994083125,0.354028120813771,0.34393920330342,0.352699192813375,0.341288138560704,0.34611846614569,0.375883373497967,0.328193816940461,0.304835093520444,0.327480963362198,0.337748748774204,0.341898679571902,0.354090861123445,0.36073633623439,0.365972043000726,0.504419271478824,0.40876861144912,0.353378335743966,0.343905135279674
"Minnesota",0.411848005907445,0.337083798253709,0.323940501231985,0.31551380862641,0.317564630817207,0.330850869746893,0.332974632682142,0.311930455540744,0.293263239384529,0.274098592048657,0.282244878907571,0.292520984851004,0.311304011376146,0.298297831362821,0.30342447596323,0.307629397222283,0.323246391216549,0.328087891659386,0.313361508272601,0.404511036006703,0.324701588684415,0.347946038063537,0.348606441803967
"Mississippi",0.401341671369174,0.379872446655944,0.365356690354911,0.370124970313714,0.402857315912986,0.410041494514073,0.384866292301691,0.360685779323797,0.341263530010387,0.302704235618,0.315481621055374,0.328153491561108,0.34202190930293,0.33982940836045,0.358106470545646,0.36335085244658,0.382284214315643,0.402533517446955,0.405655534959609,0.468567381905836,0.455713318831381,0.45585746303297,0.419855805969881
"Missouri",0.459497338461478,0.353447404487613,0.346063022306959,0.331579655270486,0.377757245792722,0.365942678450069,0.356735346502162,0.359450722939959,0.331676943916247,0.360213185132656,0.315648132929158,0.311953338532949,0.33579402512172,0.369301226808332,0.391161221121195,0.359346939818495,0.364030427036713,0.35200957608927,0.36599568823482,0.453073626412616,0.383541145297647,0.373269296909142,0.339134732441739
"Montana",0.471921410836047,0.474184580981289,0.48072378579862,0.49544613297418,0.485720351329722,0.482187951447396,0.473438918401244,0.467251986250471,0.440287386939547,0.39946316077424,0.390677817232982,0.401377539775456,0.431873828608528,0.441367752433261,0.456427980442065,0.451271493270549,0.442523826552545,0.434825409440895,0.474576639513579,0.493556391866386,0.477399588869895,0.494672224745445,0.457008283064878
"Nebraska",0.41386027069306,0.359465270794027,0.349487636410705,0.328828317897576,0.353356877019014,0.360735556813171,0.35872159098511,0.333622430921411,0.313352374399298,0.32252280695924,0.295484948450302,0.307765535635747,0.32401602463699,0.326686654207521,0.32740112750223,0.35001685920442,0.356725184686132,0.374530112668866,0.360679388661783,0.417093018820786,0.371901976740573,0.354705961352724,0.356823235934186
"Nevada",0.433118095251665,0.41189717378686,0.398742266683173,0.419773596814927,0.432415859218466,0.433535666547226,0.457013791097681,0.471101733351752,0.390582531541659,0.388098926302327,0.377092031493362,0.359342661881883,0.367266295991695,0.377056908352124,0.365911878763693,0.40138202529537,0.36925335810435,0.393712721660837,0.394364340166506,0.633399958984635,0.436625748837019,0.41676886316402,0.382265438353451
"New Hampshire",0.447799788523003,0.429633500503776,0.396593515781314,0.40775392787187,0.411903402712601,0.394445215342016,0.390694451357975,0.396280368399148,0.371875138060592,0.351325135681247,0.323903575390113,0.349296200281616,0.337125561878673,0.370804158702129,0.345300564413141,0.353373349224301,0.383586437415182,0.366660447323688,0.349385683340184,0.428239845601665,0.393286227012113,0.404445119365523,0.364699835426711
"New Jersey",0.387656663260101,0.336631310152618,0.330316062284894,0.354142006234522,0.358795330784746,0.345998444299574,0.360867299540198,0.364753834515659,0.32252185175308,0.296880775550436,0.274181773529395,0.319723704575781,0.291907097071871,0.298496856668316,0.30701221183917,0.298465008227824,0.30138039106177,0.317657093738362,0.342584904997566,0.481502726665793,0.342618753662708,0.356769550868297,0.331080024633825
"New Mexico",0.423907721799815,0.407027494044124,0.38686825215896,0.401354448577517,0.412485847020976,0.394436325638095,0.388107956978621,0.384869208840177,0.349341990156343,0.341186908258612,0.3274450458436,0.344724282394,0.360120428353566,0.338454880758441,0.379707678938581,0.359501030249399,0.348024552754194,0.362726310011284,0.403869640222299,0.453002032329665,0.3944967471531,0.396344007848398,0.354757599612438
"New York",0.342693015678305,0.319026316536803,0.303449156115433,0.313416973021779,0.319077270489882,0.310560400469811,0.292533883795738,0.300473987438942,0.291080209856564,0.291113476411414,0.294736803923389,0.285226858070503,0.290358493751727,0.260588214492839,0.29404649712771,0.299750532632688,0.295427242223329,0.294067099921862,0.298393902289031,0.396000504912327,0.299769965999698,0.299804124406071,0.298331168635187
"North Carolina",0.392530776398404,0.382242917491848,0.383128421463227,0.383629536773604,0.37592528983115,0.382928552010971,0.393714637302393,0.36801140218165,0.333655294336255,0.314124963912768,0.322524971927105,0.356003957330444,0.365318439860835,0.352025534018153,0.377170780081101,0.366636747895709,0.377822541329718,0.426972965929831,0.446563792400648,0.464849965179675,0.441314607878348,0.419148294428285,0.391290777507079
"North Dakota",0.443822187115828,0.398178606280727,0.395059497544766,0.372588380977457,0.376501303707139,0.396946479622325,0.400729620902484,0.370630054945319,0.343986914760798,0.346025552131774,0.358783573824835,0.380439890323763,0.376494580304514,0.394992284788618,0.441825382910695,0.408795353237599,0.388024857929126,0.388053121519722,0.415620434811557,0.509355048078174,0.403138184112364,0.403181495204639,0.398204573554079
"Ohio",0.417470194641743,0.366641416307968,0.338492658339718,0.341164066814008,0.382972647563792,0.36864973527641,0.360681009837314,0.348756206807299,0.30985209102415,0.29400970109796,0.288176035644856,0.288091309999112,0.323218198623048,0.31967081081836,0.375821612768067,0.378398660382881,0.340489656955447,0.375803667873255,0.365983625405463,0.451361855867572,0.367951431096161,0.37255924052959,0.362047256013398
"Oklahoma",0.431376472862848,0.408295604500517,0.398390333902103,0.388692911039912,0.391292208829439,0.414389442602413,0.410068056481352,0.366676553818164,0.34119210534482,0.330883655096843,0.341179356487593,0.335738863712838,0.354730065479696,0.36005595847649,0.366032695505801,0.378366238663459,0.369937418020734,0.417959846286634,0.416139507129829,0.448915288203744,0.417383658673549,0.416767233817955,0.408821080569938
"Oregon",0.430224267956482,0.421450115393927,0.410793520840261,0.407671073567618,0.424778848809655,0.417940466444827,0.403826517361043,0.437826839126619,0.370026240653997,0.337132301840433,0.344711184123278,0.328312233495131,0.349359301543999,0.336382545979535,0.349996960431187,0.350633747707258,0.370629967827031,0.391230811066574,0.421712624724508,0.486757519438344,0.400741994290448,0.394468482874326,0.369973934000517
"Pennsylvania",0.345313613544648,0.35068476021659,0.323926184537327,0.345263634290433,0.34930877854168,0.338446367060192,0.323243940945659,0.317625737296593,0.317586511606809,0.307673670262994,0.276329739715873,0.309819935326162,0.300477752645103,0.32264994287582,0.334335144896316,0.341248191536715,0.365471874264916,0.335707601449777,0.328125623552571,0.428134950380912,0.32945178339989,0.31836065411707,0.309130589837686
"Rhode Island",0.402037482473949,0.371454829641075,0.353458677002263,0.381657028321688,0.369385744669237,0.363489634215225,0.354764466619063,0.370711813262598,0.341921735927338,0.332298743049279,0.309093662889425,0.316950814888534,0.316220854504093,0.311979447746365,0.327456142197338,0.339161192287836,0.360127793312625,0.352735170468576,0.367300124882121,0.476649404998263,0.381671349018222,0.388056016534528,0.369316993580865
"South Carolina",0.400889288090391,0.36940013386793,0.365989850600704,0.395010514609222,0.415528623705645,0.42344089814782,0.395128311406807,0.382386339823787,0.371226225711206,0.333665399065298,0.352724939245163,0.343250353833942,0.338427851676207,0.38165345237441,0.379683752138092,0.391884236744733,0.401348249903503,0.403886266653798,0.431282301056275,0.459411450471523,0.419732524874544,0.427602960897837,0.413190912253456
"South Dakota",0.449175689162804,0.40073084154834,0.39002064424508,0.388191287353826,0.399135230823017,0.391913305440325,0.393837709948979,0.363463129535404,0.33780717461163,0.341958919611447,0.33515614152785,0.332348726901,0.338682915821598,0.352815324296966,0.360866719792416,0.367989989610809,0.362067292118952,0.389418104575097,0.373292778284567,0.425653751997136,0.371948174958372,0.377148444965625,0.379727373541717
"Tennessee",0.409472023315697,0.384861392559601,0.377126326548962,0.36270195645217,0.362059287369534,0.391870493536712,0.389335628319089,0.382955112489314,0.337743999841753,0.332965171924301,0.34119665057532,0.375237361650359,0.364691402864524,0.353340676656283,0.367398201646516,0.390712217423697,0.369964618483759,0.422254494417418,0.376443071932718,0.465472365008785,0.434237438176661,0.449445622209489,0.395749114868434
"Texas",0.394350078283676,0.392551741579687,0.369949202092318,0.384813981582796,0.380963891129894,0.386740457072831,0.386145599986616,0.387994843695884,0.354854933416221,0.33087737458201,0.336334900134866,0.346640389766137,0.347957219332951,0.379044414946195,0.385428185579497,0.39433963466361,0.406888436528315,0.416730266320941,0.398144826552898,0.445925657626845,0.399360539041423,0.399404700384853,0.386780030262092
"US Average",0.392527046920862,0.367982848257719,0.360033631270274,0.362010704491988,0.373185192024776,0.374466681622549,0.371873861134441,0.359338565544397,0.331544484867872,0.315463418608732,0.317573313235221,0.320384599674582,0.32319794678403,0.335680482724057,0.350637849685524,0.352649699357446,0.357351705934496,0.365299962539241,0.367922020523805,0.444185032895739,0.381593800655308,0.384160554049541,0.35866984538249
"Utah",0.418150673806495,0.422232799978085,0.407007742690637,0.418639493167598,0.406273838719784,0.403141300292619,0.427677258095083,0.412431840160708,0.382345819402495,0.344641998424743,0.352772454813827,0.353360745727627,0.366058538655713,0.347243050048369,0.353294755350825,0.380346000193953,0.433669543684329,0.465381836387355,0.436124711250797,0.420236395305878,0.39436143661691,0.40007409393068,0.384298030172563
"Vermont",0.447809059367178,0.433675643966604,0.431450837049349,0.434273470781049,0.419293708161057,0.414401254561822,0.39881850917562,0.408173418792738,0.3893513300443,0.383630762292461,0.354770578859923,0.355620355567247,0.368809351422939,0.358842258678934,0.388841971615459,0.392665309360152,0.393125850733444,0.382976892155481,0.380454359287468,0.480378147846112,0.399565262815267,0.390033011197601,0.364111318181189
"Virginia",0.384398013333765,0.381721578184377,0.39890253608535,0.373847023464491,0.355390909049953,0.36533005548031,0.346643859690709,0.336417394775476,0.311939291758742,0.305558936133094,0.327467297019958,0.319742141283986,0.316948868810342,0.330223423018236,0.345905687078721,0.328817046988561,0.352734837254546,0.327428019151225,0.364699866573714,0.404197290632666,0.36072139067759,0.377046115441131,0.380325931385815
"Washington",0.423630637763672,0.392535703344317,0.357369132439089,0.371270800392532,0.399474440997791,0.374472228943462,0.359401336775939,0.410118703699112,0.36274957484624,0.304096935580388,0.313376387485577,0.289593804022898,0.298356069964505,0.308369631319786,0.332259872800088,0.3288303112446,0.318457443521399,0.344644887847042,0.357427968356332,0.416813762517061,0.322572461060746,0.357389860412963,0.316951032384318
